﻿"編號","報修日期","完成日期","當前狀態","報價進度","歸檔狀態","負責工程師","客戶名稱","機型","時效(天)","聯絡人","電話","地址","保固","問題狀況","其他詳細資訊"
"T-1985","2026-06-26","2026-07-02","完修","","已封存","劉明忠 Yuie","7/2裝機","SL-M-ESPRESSO","6","","","","","2026/7/02(四)上午10:30準時送達","2026/7/02(四)上午10:30準時送達 台南市中西區忠義路一段46號 SLAYER 半自動單孔咖啡機(1相220V) SL-M-ESPRESSO-B-4 機器序號: 13594 聯絡人: 0928021105 李珍賢"
"T-5176","2026-06-26","2026-06-26","完修","","已封存","楊棟嘉 Ken","慣老闆俱樂部-公益店","SCC WE 61","5","","","","","漏水","漏水"
"T-7177","2026-06-26","2026-06-26","報價","未報價","處理中","陳祐嘉 Dean","煙波-嘉義 優仕","A300","5","","","","","整理檢修","整理檢修"
"T-1487","2026-06-26","2026-06-26","完修","","已封存","廖聖典 Max","國賓飯店","EVOX30","5","","","","","真空包裝機換油","真空包裝機換油"
"T-1175","2026-06-26","2026-06-26","完修","","已封存","楊棟嘉 Ken","D&D BRUCH","DC ONE","5","","","","","清潔刀盤","清潔刀盤"
"T-4493","2026-06-26","2026-06-27","完修","","已封存","陳柏凱 Kevin","全家 - 淡水新江店","XS","5","","","","","1.客戶名稱/經銷：全家 - 淡水新江店","1.客戶名稱/經銷：全家 - 淡水新江店 2.統編： 3.聯絡人：李小姐 4.聯絡電話號碼：0226227391 5.地址：新北市淡水區中山北路二段188巷16號1樓 6.機型/機號：E60SJ23053061844 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示錯誤資訊-水循環故障"
"T-5134","2026-06-29","2026-06-29","完修","","已封存","劉明忠 Yuie","全家-澎湖西衛店","XS","5","","","","","1.客戶名稱/經銷：全家-澎湖西衛店","1.客戶名稱/經銷：全家-澎湖西衛店 2.統編： 3.聯絡人： 魏小姐 4.聯絡電話號碼：069269596 5.地址：澎湖縣馬公市西衛里五福路１０１號 6.機型/機號： 7.保固與否：否 8.故障問題：Rational智能蒸烤爐清潔時都會漏水!"
"T-4839","2026-06-29","2026-06-29","完修","","已封存","邱信豪 Mars","日初早餐 egg bun (新莊）","DC Max","5","","","","","1.店名：日初早餐 egg bun (新莊）","1.店名：日初早餐 egg bun (新莊） 2.電話：王映儒 0988-530-354 3.地址：新北市新莊區思源路115號一樓 4.機型：DC Max  5.問題：磨豆機 上個月有報修過               磨豆機顆細度會移動 附影片"
"T-8663","2026-06-29","2026-06-30","完修","","已封存","廖聖典 Max","85豐原中興","EVO2","5","","","","","1.客戶名稱/經銷：85豐原中興","1.客戶名稱/經銷：85豐原中興 2.統編： 3.聯絡人：督導 4.聯絡電話號碼：04 2515 4573 5.地址： 420臺中市豐原區中興路242之3號 6.機型/機號：EVO2 7.保固與否：保修 8.故障問題：還是一樣狀況 早上開機都要1小時30分才會加熱好 奶泡才能用"
"T-5656","2026-06-29","2026-06-30","完修","","已封存","劉明忠 Yuie","85度C-高雄漢民","EVO 2","5","","","","","1.店名：85度C-高雄漢民","1.店名：85度C-高雄漢民 2.電話：07-8038965    張S-職員 3.地址：高雄市小港區漢民路729號 4.機型 : 咖啡機 5.問題：螺絲鎖歪了 鎖不上去了 請收費"
"T-8905","2026-06-29","2026-06-29","完修","","已封存","廖聖典 Max","美好時光","ICP 61G","5","","","","","1.客戶名稱/經銷：美好時光","1.客戶名稱/經銷：美好時光 2.統編： 3.聯絡人：簡小姐 4.聯絡電話號碼： 0987-264-056 5.地址：台北市內湖區內湖路一段737巷51弄22號 6.機型/機號：G11SJ21062897344 7.保固與否：否 8.故障問題：無法點火，有氣爆"
"T-6717","2026-06-29","2026-06-29","完修","","已封存","邱信豪 Mars","85台北景美","EVO2","5","","","","","1.店名85台北景美","1.店名85台北景美 2. 地址116台北市文山區景文街42號 3. 機型 EVO2 5.問題 機器後方有異音 02-8663-7865 保修"
"T-7455","2026-06-29","2026-07-08","完修","","已封存","劉峻宇 Otto","薩莉亞-桃園大全聯店","咖啡機","5","","","","","薩莉亞桃園大全聯店","薩莉亞桃園大全聯店 裝機地址：桃園市中壢區中北路二段468號 B1 新裝機保固  依然每天跳此錯誤 重開機後 正常 請人員前往更新軟體"
"T-0711","2026-06-29","2026-06-29","完修","","已封存","陳柏凱 Kevin","金色三麥-桃園藝文店","ICP 101","5","","","","","店  名:金色三麥桃園藝文店","店  名:金色三麥桃園藝文店 地  址:桃園市南平路301號 現場連絡人:楊雅婷 連絡電話: 0921902437 維修設備: 跳高 限"
"T-8515","2026-06-27","2026-06-29","完修","","已封存","劉明忠 Yuie","全家 - 長治公園店","XS","5","","","","","1.客戶名稱/經銷：全家 - 長治公園店","1.客戶名稱/經銷：全家 - 長治公園店 2.統編： 3.聯絡人：陳冠學 4.聯絡電話號碼：087215226 5.地址：屏東縣長治鄉瑞源路250號 6.機型/機號：E60SJ23053056161 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示供水裝置故障"
"T-0740","2026-06-28","2026-06-29","報價","已報價","處理中","林正賢 Jeff","家樂福-天母店","SCC WE 201","5","","","","","214：開機異常，電子板及記憶卡有問題，養護說這個月以報滿，可以下個月在報價","214：開機異常，電子板及記憶卡有問題，養護說這個月以報滿，可以下個月在報價  1.客戶名稱/經銷：家樂福 天母店 2.統編： 3.聯絡人：饒文昌 4.聯絡電話號碼：02 2833 8042 5.地址：台北市士林區德行西路47號 6.機型/機號：E21SI16092543214 7.保固與否： 8.問題：上次維修後,外蓋掉下來!"
"T-3987","2026-06-27","2026-06-29","完修","","已封存","楊棟嘉 Ken","康達盛通-北港店","SCC 101","5","","","","","1.客戶名稱/經銷：康達盛通-北港店","1.客戶名稱/經銷：康達盛通-北港店 2.統編： 3.聯絡人：蔡欣達養護課長 4.聯絡電話號碼：0970-790-322 5.地址：雲林縣北港鎮華南路101號 6.機型/機號：E11SE06102077498 7.保固與否：過保 8.故障問題：爐內過熱!請週一處理!"
"T-4587","2026-06-26","2026-06-26","完修","","已封存","劉峻宇 Otto","️Hi-life 內湖湖鑽店","桌上設備","5","","","","","桌上設備維修","桌上設備維修"
"T-1477","2026-06-29","2026-07-02","完修","同意報價","已封存","林正賢 Jeff","六福萬怡-7f旭日","SCC WE 101","5","","","","","1.客戶名稱/經銷：六福萬怡","1.客戶名稱/經銷：六福萬怡 2.統編： 54397437 3.聯絡人：許國忠課長 4.聯絡電話號碼： 02-66156565#2380  5.地址：台北市南港區忠孝東路七段359號  6.機型/機號：7f旭日- G11SH15012441175 7.保固與否：過保 8.故障問題：維修服務120"
"T-5249","2026-06-29","2026-06-30","完修","","已封存","劉峻宇 Otto","Coffee Woodrow 伍拙咖啡","DC PRO","5","","","","","叫修:","叫修: 1.店名：Coffee Woodrow 伍拙咖啡 2.聯絡人：江文忠 0910585552 3.地址：台北市信義區崇德街10號 4.機型：DC- DC PRO 5.問題：幫浦馬達不正常作動。  客戶想一起更換墊圈"
"T-4488","2026-06-29","2026-06-30","完修","","已封存","陳柏凱 Kevin","新竹煙波湖濱-陽光餐廳","A600","5","","","","","叫修","叫修  1.店名：新竹煙波湖濱-陽光餐廳 2.聯絡人： 3.聯絡電話號碼： 4.地址：300新竹市東區明湖路773號 5.機型：Franke A600 6.問題：奶茶卡住 清潔一樣無法"
"T-5286","2026-06-29","2026-07-02","完修","","已封存","陳柏凱 Kevin","怡泰/成大器燒肉飯","ICP 61G","5","","","","","叫修","叫修 1.客戶名稱/經銷：怡泰/成大器燒肉飯 2.統編： 3.聯絡人：蕭先生 4.聯絡電話號碼：0965320560 5.地址：新竹市四維路17號 6.機型/機號：icp61/gas 7.保固與否：是 8.故障問題： 點火失敗，清洗失敗"
"T-2111","2026-06-29","2026-06-30","完修","","已封存","陳柏凱 Kevin","全家-芎林向大店","XS","5","","","","","叫修：三級維修","叫修：三級維修 1.客戶名稱/經銷：全家-芎林向大店 2.統編： 3.聯絡人：鍾小姐  4.聯絡電話號碼：035921060 5.地址：新竹縣芎林鄉文山路５６９號 6.機型/機號：E60SJ22113014292 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示Y3訊息 S-42.3 供水功能故障（Y3 加濕）"
"T-6723","2026-06-29","2026-07-03","完修","","已封存","劉明忠 Yuie","烘豆房-龍成","ZM","5","","","","","磨豆機更換刀盤","磨豆機更換刀盤"
"T-5598","2026-06-29","2026-06-30","完修","","已封存","邱信豪 Mars","聚匯","STUDIO","5","","","","","叫修","叫修 1.客戶名稱/經銷：聚匯 2.統編：55766443 3.聯絡人： 4.聯絡電話號碼：0955910747 5.地址：台北市大安區仁愛路4段137號12樓 6.機型/機號：DC/STUDIO 7.保固與否：過 8.故障問題：旋鈕蓋鬆掉 @Mars 已約好明日6/30下午2.過去"
"T-5897","2026-06-29","2026-07-01","完修","","已封存","楊棟嘉 Ken","福里安花神 中港店","SCC WE 61","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：新光三越百貨股份有限公司/福里安花神 2.統編： 3.聯絡人：陳昭婷小姐  4.聯絡電話號碼：8789-5599#8892 5.地址：台中市西屯區臺灣大道三段301號2樓 6.機型/機號：E61SI17122635224 7.保固與否： 8.故障問題：維修服務25, 04－22597720西廚張主廚!"
"T-3556","2026-06-29","2026-06-30","完修","","已封存","林正賢 Jeff","普印精舍","SCC WE 61","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：普印精舍 2.統編： 3.聯絡人： 星妙法師   4.聯絡電話號碼： 02-2891-9757 / 0972-388-782 5.地址: 台北市北投區大業路152號 6.機型/機號:E61SI18112712447 7.保固與否：過保 8.故障問題：多次使用中度及強烈清洗，設備維護數值無改善"
"T-5549","2026-06-29","2026-06-29","完修","","已封存","劉峻宇 Otto","明星咖啡","Mina","5","","","","","漏蒸氣","漏蒸氣"
"T-5308","2026-06-29","2026-06-29","完修","","已封存","劉峻宇 Otto","公司4樓咖啡展間","Mytico","5","","","","","維修","維修"
"T-1875","2026-06-29","2026-06-29","完修","","已封存","楊棟嘉 Ken","耀達","ICP 101","5","","","","","裝機","裝機"
"T-9977","2026-06-24","2026-06-29","完修","","已封存","陳柏凱 Kevin","莫內咖啡","SCC WE 101","5","","","","","同意報價維修","同意報價維修 更換觸控面板"
"T-6687","2026-06-24","2026-06-30","完修","","已封存","劉明忠 Yuie","全家-長治交流店","XS","5","","","","","1.客戶名稱/經銷：全家便利商店-長治交流店","1.客戶名稱/經銷：全家便利商店-長治交流店 2.統編： 3.聯絡人：施先生 4.聯絡電話號碼：087626098 5.地址：屏東縣長治鄉繁華村水源路１９５號 6.機型/機號:E60SJ22113014191 7.保固與否： 8.故障問題：Rational智能蒸烤爐無法清洗S-42.3 供水功能故障（Y3 加濕）"
"T-3758","2026-06-29","2026-06-30","完修","","已封存","陳柏凱 Kevin","寶山佳禾日料","IRINOX MF25.1","5","","","","",".客戶名稱/經銷：寶山佳禾日料",".客戶名稱/經銷：寶山佳禾日料 2.統編： 3.聯絡人：鐘先生 4.聯絡電話號碼：  5.地址：新竹縣寶山鄉明湖路57號 6.機型/機號：IRINOX MF25.1 7.保固與否：否 8.故障問題：急速冷凍設備 近期運作會發出異狀聲音"
"T-2503","2026-06-29","2026-06-30","完修","","已封存","劉峻宇 Otto","85度C-萬華廣州","EVO2","5","","","","","1.客戶名稱/經銷：85度C-萬華廣州","1.客戶名稱/經銷：85度C-萬華廣州 2.統編： 3.聯絡人：  4.聯絡電話號碼：02-23367992 5.地址：台北市萬華區廣州街207號  6.機型/機號：EVO2 7.保固與否：保修 8.故障問題：排水管破掉 跟斷掉了"
"T-4240","2026-06-30","2026-07-14","完修","同意報價","已封存","林正賢 Jeff","御廚房","SCC WE 202G","5","","","","","1.客戶名稱/經銷：御廚房","1.客戶名稱/經銷：御廚房 2.統編： 3.聯絡人：周招合 4.聯絡電話號碼：  5.地址： 6.機型/機號：SCC202/G22SH15102482652 7.保固與否：否 8.故障問題：缺水，有請水電師傅檢查有水，壓力也夠"
"T-5168","2026-06-30","2026-07-06","完修","","已封存","陳柏凱 Kevin","財茂彎-328 coffee","DC ONE 磨豆機","5","","","","","1.客戶名稱/經銷：財茂彎-328 coffee","1.客戶名稱/經銷：財茂彎-328 coffee 2.統編： 3.聯絡人：陳先生 0920930679 /李小姐 0970548916 4.聯絡電話號碼： 5.地址：新北市坪林區粗窟里北宜路七段81號 6.機型/機號：DC ONE 磨豆機 G20000080 7.保固與否：過保 8.故障問題："
"T-5366","2026-06-30","2026-07-07","完修","","已封存","邱信豪 Mars","廖育鈴","STUDIO","5","","","","","1.客戶名稱/經銷：廖育鈴","1.客戶名稱/經銷：廖育鈴 2.統編： 3.聯絡人：廖育鈴 4.聯絡電話號碼：0912-474956 5.地址：苗栗縣頭份市富強二街29號10樓 6.機型/機號：STUDIO/F22000115 7.保固與否：過保 8.故障問題：鍋爐無法加熱升溫  為住家設備  請協助安排7/6或7/7中午時段並先連絡到場時間"
"T-2543","2026-06-30","2026-07-01","完修","","已封存","邱信豪 Mars","全家-建鑫店","XS","5","","","","","1.客戶名稱/經銷：全家便利商店-    建鑫店","1.客戶名稱/經銷：全家便利商店-    建鑫店  2.統編： 3.聯絡人：楊小姐  4.聯絡電話號碼：02-27233205 5.地址：台北市信義區松壽路24號  6.機型/機號：E60SJ22082989919 7.保固與否： 8.故障問題：Rational智能蒸烤爐側板脫落"
"T-9436","2026-06-30","2026-07-02","完修","","已封存","廖聖典 Max","準備好了有限公司","iCP 201","5","","","","","1.客戶名稱/經銷：準備好了有限公司","1.客戶名稱/經銷：準備好了有限公司 2.統編：54052481 3.聯絡人：彥祐 先生 4.聯絡電話號碼：0920598970 5.地址：臺北市大安區忠孝東路4段223巷53號1樓 6.機型/機號：iCP201/電力型 7.保固與否： 8.故障問題：排水會漏水（之前有處理過，目前還是會發生）"
"T-8461","2026-06-30","","未執行","","已封存","未指派","喬元手創食品有限公司","ICP 202","5","","","","","客戶自行排除","客戶自行排除  1.客戶名稱/經銷：喬元手創食品有限公司 2.統編： 3.聯絡人：章小姐 4.聯絡電話號碼：02-2206-6300 5.地址：樹林區忠愛街3號6樓 6.機型/機號：ICP 202 7.保固與否：保固，剛裝機不久 8.故障問題：後面漏水"
"T-0437","2026-07-01","2026-07-02","報價","已報價","處理中","邱信豪 Mars","食厘米餐盒/寶羅","ICP 61G","5","","","","","1.客戶名稱/經銷：食厘米餐盒/寶羅","1.客戶名稱/經銷：食厘米餐盒/寶羅 2.統編： 3.聯絡人：羅寶文 4.聯絡電話號碼：0935-020-093 02 8786 0193  5.地址：台北市信義區基隆路二段20之2號 6.機型/機號：G61SJ23033042796 7.保固與否：內 8.故障問題：蒸烤箱的內漏"
"T-2506","2026-06-30","2026-06-30","完修","","已封存","劉明忠 Yuie","全家-澎湖跨海","XS","5","","","","","清洗失敗","清洗失敗"
"T-7585","2026-06-30","2026-06-30","完修","","已封存","廖聖典 Max","全家-台中機場店","XS","5","","","","","1.客戶名稱/經銷：全家-台中機場店","1.客戶名稱/經銷：全家-台中機場店 2.統編： 3.聯絡人： 黃店長 4.聯絡電話號碼：0426150203 5.地址：台中市沙鹿區中航路1段168號 6.機型/機號：E60SJ23043051171 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示蒸氣異常，營業時間：06:00-20:00 S-14 蒸汽發生器水位檢測故障!"
"T-5120","2026-07-01","2026-07-01","完修","","已封存","林正賢 Jeff","圓滾滾Cafe 淡水店","ICP 61G","5","","","","","叫修","叫修  店名：圓滾滾Cafe 淡水店 電話：02-2808-1313 地址：新北市淡水區民權一街17巷16號 機型：G61SJ22082991332 問題：門手把壞了麻煩查修是否要更換"
"T-9594","2026-07-01","2026-07-14","完修","同意報價","已封存","邱信豪 Mars","新竹國賓 10樓宴會廚","SCC WE 202","5","","","","","叫修","叫修 1.客戶名稱/經銷：新竹國賓  10樓宴會廚 2.統編：70784363 3.聯絡人：工務 4.聯絡電話號碼：03-5151666#3806 5.地址：新竹市東區中華路二段188號 6.機型/機號：SCC202/E22SI18012641371 7.保固與否：過保 8.故障問題：操作面板黑屏，無動作  請先電聯了解狀況，謝謝。"
"T-9286","2026-07-01","2026-07-01","完修","","已封存","林正賢 Jeff","歐拉食坊","真空包裝機","5","","","","","真空包裝機","真空包裝機 裝機"
"T-8206","2026-07-01","2026-07-01","完修","","已封存","廖聖典 Max","馬禾軒","ICP 101","5","","","","","螢幕泛黃","螢幕泛黃"
"T-2714","2026-07-01","2026-07-02","完修","","已封存","邱信豪 Mars","全家-陳課長","XS","5","","","","","運回公司保養後，運回客戶端回裝","運回公司保養後，運回客戶端回裝"
"T-2382","2026-07-01","2026-07-01","完修","","已封存","劉明忠 Yuie","李珍賢-裝機前場勘","SL-M-ESPRESSO","5","","","","","李珍賢","李珍賢 台南市中西區忠義路一段46號 SLAYER 半自動單孔咖啡機(1相220V) SL-M-ESPRESSO-B-4 機器序號: 13594 聯絡人: 0928021105 李珍賢"
"T-8957","2026-07-01","2026-07-02","完修","","已封存","劉峻宇 Otto","聚匯","STUDIO","5","","","","","1.客戶名稱/經銷：聚匯","1.客戶名稱/經銷：聚匯 2.統編：55766443 3.聯絡人： 4.聯絡電話號碼：0955910747 5.地址：台北市大安區仁愛路4段137號12樓 6.機型/機號：DC/STUDIO 7.保固與否：過 8.故障問題：溫度上不去/開關異常 已跟客戶說明可能需要主PCB板"
"T-8190","2026-07-01","2026-07-06","完修","同意報價","已封存","楊棟嘉 Ken","家樂福 德安店","SCC WE 201","5","","","","","同意報價","同意報價 1. 店名：家樂福 德安店 2. 地址：台中市東區復興路四段186號B1 3. 電話：養護長-葉長生0952-651-017 4. 機型：E21SH13012336258 5. 問題：漏水"
"T-5784","2026-07-01","2026-07-03","完修","","已封存","林正賢 Jeff","花蓮美侖","ICC101","5","","","","","1.客戶名稱/經銷：花蓮美侖","1.客戶名稱/經銷：花蓮美侖 2.統編：84307905 3.聯絡人：西廚主廚 4.聯絡電話號碼：主廚蔣家豪0989-966450 5.地址：花蓮縣花蓮市民享里224鄰林園1之1號 6.機型/機號：ICC101 E11MJ22022953928 7.保固與否：過保 8.故障問題：無蒸氣"
"T-7628","2026-07-01","2026-07-02","完修","","已封存","陳祐嘉 Dean","全家-新店站前店","XS","5","","","","","1.客戶名稱/經銷：全家便利商店-新店站前店","1.客戶名稱/經銷：全家便利商店-新店站前店 2.統編： 3.聯絡人： 顏先生  4.聯絡電話號碼：0229147259 5.地址：新北市新店區北宜路一段６號 6.機型/機號：E60SJ23123107693 7.保固與否： 8.故障問題：Rational智能蒸烤爐顯示內部通訊資料故障(A10I/O)，無法離開畫面，不能使用! S-34.16 內部資料通訊故障（A10 I/O 電路板）"
"T-9033","2026-07-01","2026-07-02","完修","","已封存","劉明忠 Yuie","體育場壽司","ICP 101","5","","","","","清洗異常","清洗異常"
"T-4751","2026-07-01","2026-07-01","完修","","已封存","劉峻宇 Otto","Coffee Woodrow 伍拙咖啡","DC- DC PRO","5","","","","","1.店名：Coffee Woodrow 伍拙咖啡","1.店名：Coffee Woodrow 伍拙咖啡 2.聯絡人：江文忠 0910585552 3.地址：台北市信義區崇德街10號 4.機型：DC- DC PRO 5.問題：幫浦馬達不正常作動。"
"T-8066","2026-07-02","2026-07-03","完修","","已封存","劉明忠 Yuie","21世紀-鼎山","ICP 61","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：21世紀鼎山 2.統編： 3.聯絡人：張S-職員 4.聯絡電話號碼：07-3953921 5.地址：高雄市三民區大順二路849號1樓 6.機型/機號：ICP061 7.保固與否： 8.故障問題：清洗時會自動斷電，顯示供水裝置功能故障，只能手動!"
"T-2711","2026-07-02","2026-07-02","完修","","已封存","陳祐嘉 Dean","全家-板橋板農店","XS","5","","","","","*`叫修:二級維修`*","*`叫修:二級維修`* 1.客戶名稱/經銷：全家便利商店-板橋板農店 2.統編： 3.聯絡人： 廖小姐  4.聯絡電話號碼：0222723346 5.地址：新北市板橋區府中路２９-１號１樓 6.機型/機號：E60SJ21052894079 7.保固與否： 8.故障問題：Rational智能蒸烤爐顯示錯誤資訊清潔時供水裝置功能故障(重開後又正常)S-42.3 供水功能故障（Y3 加濕）!"
"T-2425","2026-07-01","2026-07-02","完修","","已封存","林正賢 Jeff","全家-蘆竹長興店","XS","5","","","","","叫修:三級維修","叫修:三級維修 1.客戶名稱/經銷：全家便利商店-蘆竹長興店  2.統編： 3.聯絡人：	張先生  4.聯絡電話號碼：033336196 5.地址：桃園市蘆竹區南山路二段５２０號壹樓 6.機型/機號：E60SJ23073071201 7.保固與否： 8.故障問題：Rational智能蒸烤爐異音、清洗時顯示球閥功能故障@"
"T-5873","2026-07-02","2026-07-03","完修","","已封存","邱信豪 Mars","統一超食代","SCC WE 202","5","","","","","`叫修:二級維修`","`叫修:二級維修` 1.客戶名稱/經銷：統一超食代 2.統編： 3.聯絡人： 小米  4.聯絡電話號碼：0975702582 5.地址：新北市土城區中興路16號 6.機型/機號：E22SI19032738269 7.保固與否： 8.故障問題：螢幕沒有故障碼  底排一直漏水  請先給我那位工程師,因為是食品廠區要申請,"
"T-2232","2026-07-02","2026-07-03","取消叫修","","已封存","劉明忠 Yuie","綉溪安平飯店","XT 咖啡機","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：綉溪安平飯店 2.統編：83162748 3.聯絡人： 鄔先生  4.聯絡電話號碼：0936826939 5.地址：台南市安平區吉堡街136號 6.機型/機號：XT雙孔 7.保固與否：過保 8.故障問題：萃取正常 蒸氣奶管無動作"
"T-5682","2026-07-02","2026-07-16","取消叫修","","已封存","陳祐嘉 Dean","21世紀-新店","ICP 61","5","","","","","緊急叫修:","緊急叫修: 1.客戶名稱/經銷：21世紀新店 2.統編： 3.聯絡人：張S 4.聯絡電話號碼：02-29105121 5.地址：新北市新店區中興路三段1號 6.機型/機號：ICP061*2 7.保固與否： 8.故障問題：邊烤邊漏水*2台"
"T-0089","2026-07-02","2026-07-16","完修","未報價","已封存","林正賢 Jeff","台北萬豪-1樓花園餐廳/1FGK內廚房(小廚房","CMP 61","5","","","","","叫修:","叫修: 1.店名：台北萬豪 - 1樓花園餐廳/1F GK內廚房（小廚房） 2.聯絡人 : 值班工程 0965278569 3.地址：台北市中山區樂群二路199號 4.機型: CMP61 / E61MI17052594054 5.問題：清洗無故暫停 無法正常運作"
"T-5611","2026-07-02","2026-07-02","完修","","已封存","劉峻宇 Otto","台北歐洲學校","蒸烤箱","5","","","","","場勘","場勘"
"T-8529","2026-07-02","2026-07-02","完修","","已封存","楊棟嘉 Ken","全家-台中機場店","XS","5","","","","","代碼14","代碼14"
"T-4687","2026-07-02","2026-07-02","完修","","已封存","邱信豪 Mars","全家-建鑫","XS","5","","","","","層架焊接完成","層架焊接完成"
"T-0417","2026-07-02","2026-07-02","完修","","已封存","劉峻宇 Otto","4樓咖啡部門展間","Mytico","5","","","","","Mytico更換面板","Mytico更換面板"
"T-1175","2026-07-03","2026-06-26","未執行","","已封存","未指派","21世紀-台南三井","桌下型洗碗機","5","","","","","1.客戶名稱/經銷：21世紀-台南三井","1.客戶名稱/經銷：21世紀-台南三井 2.統編： 3.聯絡人：李S-職員 4.聯絡電話號碼： 06-3033021 5.地址：臺南市歸仁區歸仁大道101號3F 6.機型/機號：桌下型洗碗機 7.保固與否： 8.故障問題：運作有異聲(請先回電做入館申請)"
"T-9618","2026-07-03","2026-07-03","完修","","已封存","陳祐嘉 Dean","85大保養機器","Evo 2","5","","","","","1.客戶名稱/經銷：85大保養機器","1.客戶名稱/經銷：85大保養機器 2.統編： 3.聯絡人： 4.聯絡電話號碼： 5.地址：外包商 工作室 6.機型/機號：Evo *2 7.保固與否：否 8.故障問題：明日已約好下午兩點跟外包商去載兩台８５大保養機器"
"T-3830","2026-07-03","2026-07-16","完修","未報價","已封存","邱信豪 Mars","楊柏偉/經銷悅廚","PACOJET4","5","","","","","1.客戶名稱/經銷：楊柏偉/經銷悅廚","1.客戶名稱/經銷：楊柏偉/經銷悅廚 2.統編： 3.聯絡人：楊柏偉 4.聯絡電話號碼： 0911360654 5.地址：台南市安平區漁光路119巷1-1號 6.機型/機號：PACOJET4 7.保固與否：2025/9/15出貨 8.故障問題： 有錯誤碼12 請先與客戶聯絡"
"T-0364","2026-07-03","2026-07-03","完修","","已封存","劉明忠 Yuie","烘豆房-自強","TONE 3","5","","","","","漏水","漏水"
"T-5016","2026-07-03","2026-07-03","完修","","已封存","陳祐嘉 Dean","台中運回烤箱檢修","ICP 61","5","","","","","檢修","檢修"
"T-5026","2026-07-03","2026-07-03","完修","","已封存","劉峻宇 Otto","85-沙鹿英才","DC ONE","5","","","","","無法調整粗細","無法調整粗細"
"T-7230","2026-07-06","2026-07-17","完修","同意報價","已封存","廖聖典 Max","聚禾豐","STEAM LP","5","","","","","咖啡機維修同意報價","咖啡機維修同意報價 聚禾豐二張報價單同一個晚上施工,大約20:00以後即可施工, 需三天前申請施工單,姓名,身分證號手機及車號,請安排後給我申請名單!"
"T-7133","2026-07-06","2026-07-09","完修","","已封存","陳柏凱 Kevin","21世紀-台北京站","ICP 61","5","","","","","1.客戶名稱/經銷：21世紀-台北京站","1.客戶名稱/經銷：21世紀-台北京站 2.統編： 3.聯絡人： 台北京站 4.聯絡電話號碼：02-2555-3021  5.地址：台北市大同區承德路一段一號B2 6.機型/機號： 7.保固與否： 8.故障問題：由下往上數第4層層架脫落"
"T-1664","2026-07-06","2026-07-06","完修","","已封存","劉明忠 Yuie","全家-台東車站店","XS","5","","","","","叫修:三級維修","叫修:三級維修 1.客戶名稱/經銷：全家便利商店-台東車站店 2.統編： 3.聯絡人：胡小姐  4.聯絡電話號碼：089237179 5.地址：台東市岩灣路１０１巷５９８號 6.機型/機號：E60SJ23073071704 7.保固與否： 8.故障問題：Rational智能蒸烤爐缺水,無法清洗(營業時間06:00-23:00)S-42.1 供水功能故障（Y1 注水）!"
"T-3952","2026-07-06","2026-07-07","報價","未報價","處理中","劉明忠 Yuie","全家-澎湖西衛店","XS","5","","","","","叫修：三級維修","叫修：三級維修 1.客戶名稱/經銷：全家-澎湖西衛店 2.統編： 3.聯絡人：呂小姐 4.聯絡電話號碼：069269596 5.地址：澎湖縣馬公市西衛里五福路１０１號 6.機型/機號：E60SJ22103006094 7.保固與否：否 8.故障問題：Rational智能蒸烤爐清潔時都會漏水;6/28報修過!"
"T-9258","2026-07-06","2026-07-07","完修","","已封存","劉峻宇 Otto","CoffeeLaw 板橋 皇翔店","Mytico","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：CoffeeLaw 板橋 皇翔店 2.統編： 3.聯絡人：王先生 4.聯絡電話號碼：0908-922-663 5.地址：新北市板橋區漢生西路2號1樓 6.機型/機號：Mytico 7.保固與否：是 8.故障問題： 左邊磨豆機需重新校正，一直以來有已經調整到最細，仍然磨「非常」粗的問題，現在建設公司已經不耐煩 需要盡快先處理"
"T-9191","2026-07-06","2026-07-08","報價","未報價","處理中","劉峻宇 Otto","余宜玲","STUDIO","5","","","","","叫修: 臉書上的客戶","叫修: 臉書上的客戶 1.客戶名稱/經銷： 2.統編： 3.聯絡人：余宜玲 4.聯絡電話號碼：0978077522 5.地址： 6.機型/機號：Dalla Corte Studio 7.保固與否：否 8.故障問題：客戶2021年左右跟我們購買了一台Dalla Corte STUDIO 義式機，因為接水盤出現裂縫會漏水，想詢問是否可購買接水盤替換？"
